Observasi_ID,Tanggal_Observasi,Grid_ID,Jenis_Lokasi,Latitude_Dummy,Longitude_Dummy,Persentase_Lumut,Persentase_Vegetasi,Air_Tenang,Paparan_Matahari,Luas_Genangan_m2,Curah_Hujan_30_Hari_mm,Pendatang_30_Hari,Pendatang_Dari_Endemis,Pekerja_Mobil,Riwayat_Perjalanan_Endemis,Skor_Mobilitas_0_100,Kasus_Malaria_1km_30Hari,Jarak_Hutan_m,Jarak_Sawah_m,Jarak_Sungai_m,Jarak_Rawa_m,Jarak_Tambang_m,Jarak_Permukiman_m,Jarak_Puskesmas_m,Habitat_Risk_Score_0_100,Mobility_Risk_Score_0_100,Risiko_Gabungan_0_100,Kategori_Habitat_5,Kategori_Heatmap_4,Foto_Dokumentasi_ID
OBS-HJ-00515,2026-05-01,HJ-G-1082,Sawah,-3.480631,138.528417,43,52,Ya,Sedang,22.7,189,2,0,1,0,43,2,1410,0,10,1800,890,220,780,88,43,71,Very High,Sedang,IMG-HJ-00515.jpg
OBS-HJ-00516,2026-05-25,HJ-G-1628,Sawah,-3.470721,138.524808,42,32,Ya,Tinggi,3.8,145,2,1,2,3,69,0,420,0,990,2120,2060,1390,1830,54,69,49,Medium,Rendah,IMG-HJ-00516.jpg
OBS-HJ-00517,2025-11-04,HJ-G-0320,Permukiman,-3.494144,138.517591,16,53,Ya,Tinggi,3.4,276,0,0,0,0,9,6,1720,1300,1700,500,1430,0,1210,56,9,53,Medium,Sedang,IMG-HJ-00517.jpg
OBS-HJ-00518,2025-11-26,HJ-G-0639,Bekas Tambang,-3.488739,138.534732,44,66,Ya,Sedang,50.4,295,11,0,28,5,52,4,2550,920,1070,2300,0,280,980,86,52,76,Very High,Tinggi,IMG-HJ-00518.jpg
OBS-HJ-00519,2026-02-17,HJ-G-0781,Permukiman,-3.486036,138.527515,17,0,Ya,Rendah,6.5,345,2,0,9,0,38,2,1840,400,580,1530,540,0,210,61,38,52,High,Sedang,IMG-HJ-00519.jpg
OBS-HJ-00520,2026-02-27,HJ-G-1540,Sawah,-3.472523,138.535634,53,39,Ya,Sedang,35.7,366,0,0,0,0,21,1,1580,0,560,2920,1600,900,1950,76,21,56,High,Sedang,IMG-HJ-00520.jpg
OBS-HJ-00521,2025-10-11,HJ-G-0174,Permukiman,-3.496847,138.5212,15,41,Tidak,Sedang,2.7,257,3,1,5,1,55,3,2200,1600,1860,980,1140,0,1190,22,55,33,Low,Rendah,IMG-HJ-00521.jpg
OBS-HJ-00522,2026-02-26,HJ-G-1367,Sawah,-3.475225,138.514885,79,53,Ya,Tinggi,10.4,367,4,1,1,0,32,0,140,0,170,1030,2360,760,1810,80,32,58,High,Sedang,IMG-HJ-00522.jpg
OBS-HJ-00523,2026-04-25,HJ-G-2465,Hutan,-3.455405,138.513081,58,32,Ya,Rendah,16.7,190,2,0,5,1,40,0,0,1360,2380,3060,4170,2820,3810,64,40,50,High,Rendah,IMG-HJ-00523.jpg
OBS-HJ-00524,2026-04-17,HJ-G-1674,Sawah,-3.46982,138.5212,24,56,Ya,Tinggi,4.0,219,2,0,1,0,22,1,100,0,910,1920,2330,1500,2000,61,22,46,High,Rendah,IMG-HJ-00524.jpg
OBS-HJ-00525,2026-04-23,HJ-G-0072,Belukar/Lahan Terbuka,-3.498649,138.519396,32,18,Ya,Sedang,1.2,180,0,0,2,0,3,2,2250,1800,2100,920,1390,100,1460,47,3,36,Medium,Rendah,IMG-HJ-00525.jpg
OBS-HJ-00526,2026-02-22,HJ-G-0777,Permukiman,-3.486036,138.523906,35,33,Ya,Sedang,2.4,346,5,0,2,0,40,2,1610,400,620,1140,860,0,260,55,40,49,Medium,Rendah,IMG-HJ-00526.jpg
OBS-HJ-00527,2026-05-18,HJ-G-0363,Rawa,-3.493243,138.511276,78,89,Ya,Sedang,15.4,147,0,0,2,0,11,2,1330,1320,1540,0,2110,220,1760,81,11,60,Very High,Sedang,IMG-HJ-00527.jpg
OBS-HJ-00528,2026-05-21,HJ-G-1575,Sawah,-3.471622,138.522102,49,78,Tidak,Rendah,17.2,130,2,1,1,2,69,0,220,0,770,1840,2110,1300,1780,49,69,46,Medium,Rendah,IMG-HJ-00528.jpg
OBS-HJ-00529,2026-03-22,HJ-G-0650,Belukar/Lahan Terbuka,-3.488739,138.544655,27,30,Tidak,Tinggi,22.4,310,0,0,5,1,36,2,3360,1420,1670,3400,510,100,2080,38,36,37,Low,Rendah,IMG-HJ-00529.jpg
OBS-HJ-00530,2026-02-16,HJ-G-0953,Hutan,-3.482432,138.502255,80,85,Tidak,Rendah,20.8,297,2,0,3,1,51,0,0,950,660,220,3230,700,2680,78,51,61,High,Sedang,IMG-HJ-00530.jpg
OBS-HJ-00531,2025-12-20,HJ-G-0083,Permukiman,-3.498649,138.529319,0,49,Tidak,Sedang,5.4,315,3,0,3,0,27,2,2980,1800,1990,1880,500,0,1320,39,27,36,Low,Rendah,IMG-HJ-00531.jpg
OBS-HJ-00532,2025-10-27,HJ-G-0207,Rawa,-3.495946,138.505864,98,92,Ya,Tinggi,24.7,223,1,1,0,0,37,1,1300,1790,1800,0,2750,700,2430,86,37,66,Very High,Sedang,IMG-HJ-00532.jpg
OBS-HJ-00533,2025-11-07,HJ-G-0777,Permukiman,-3.486036,138.523906,0,17,Tidak,Sedang,12.2,349,0,0,4,0,42,7,1610,400,620,1140,860,0,260,49,42,55,Medium,Sedang,IMG-HJ-00533.jpg
OBS-HJ-00534,2026-04-01,HJ-G-0763,Rawa,-3.486036,138.511276,79,89,Ya,Rendah,31.6,198,0,0,1,0,20,2,580,540,790,0,2160,220,1640,93,20,69,Very High,Sedang,IMG-HJ-00534.jpg
OBS-HJ-00535,2026-01-25,HJ-G-1703,Hutan,-3.468919,138.502255,55,46,Ya,Tinggi,47.1,359,2,0,1,0,23,0,0,1140,1340,1550,3910,1530,3320,58,23,42,Medium,Rendah,IMG-HJ-00535.jpg
OBS-HJ-00536,2025-10-12,HJ-G-0077,Permukiman,-3.498649,138.523906,1,20,Tidak,Sedang,7.9,261,7,0,4,0,47,2,2550,1800,2000,1340,940,0,1290,28,47,32,Low,Rendah,IMG-HJ-00536.jpg
OBS-HJ-00537,2026-05-08,HJ-G-0756,Rawa,-3.486036,138.504962,55,99,Tidak,Tinggi,43.2,114,0,0,3,0,16,0,360,920,750,0,2840,570,2330,65,16,45,High,Rendah,IMG-HJ-00537.jpg
OBS-HJ-00538,2026-03-15,HJ-G-0597,Permukiman,-3.48964,138.541949,31,17,Tidak,Tinggi,13.2,340,1,0,5,0,38,1,3190,1340,1570,3100,200,0,1790,49,38,42,Medium,Rendah,IMG-HJ-00538.jpg
OBS-HJ-00539,2025-11-09,HJ-G-0745,Permukiman,-3.486937,138.540144,0,48,Tidak,Tinggi,5.1,318,5,1,4,2,59,3,2840,980,1210,2910,220,0,1570,47,59,50,Medium,Rendah,IMG-HJ-00539.jpg
OBS-HJ-00540,2026-02-28,HJ-G-1014,Permukiman,-3.481532,138.512179,17,45,Tidak,Tinggi,4.4,389,0,0,5,1,57,0,360,100,420,280,2240,0,1650,51,57,45,Medium,Rendah,IMG-HJ-00540.jpg
OBS-HJ-00541,2026-06-19,HJ-G-1643,Sawah,-3.470721,138.53834,23,33,Ya,Sedang,5.3,86,2,0,0,0,6,2,1800,0,850,3280,1810,1100,2290,60,6,45,Medium,Rendah,IMG-HJ-00541.jpg
OBS-HJ-00542,2025-12-06,HJ-G-0667,Permukiman,-3.487838,138.514885,0,40,Ya,Sedang,1.4,363,6,1,1,3,44,3,990,630,1180,140,1730,0,1230,64,44,58,High,Sedang,IMG-HJ-00542.jpg
OBS-HJ-00543,2025-12-12,HJ-G-1004,Hutan,-3.481532,138.503157,92,78,Tidak,Rendah,15.3,360,3,1,3,3,73,0,0,820,530,220,3160,610,2610,73,73,62,High,Sedang,IMG-HJ-00543.jpg
OBS-HJ-00544,2025-10-31,HJ-G-1615,Hutan,-3.470721,138.513081,74,55,Ya,Rendah,3.6,269,2,1,5,1,35,0,0,450,690,1430,2830,1140,2320,72,35,54,High,Sedang,IMG-HJ-00544.jpg
OBS-HJ-00545,2025-10-16,HJ-G-2076,Sawah,-3.462613,138.523004,58,63,Tidak,Tinggi,14.3,267,0,0,2,1,5,1,100,0,1730,2690,2950,2280,2750,46,5,33,Medium,Rendah,IMG-HJ-00545.jpg
OBS-HJ-00546,2026-02-17,HJ-G-1593,Sawah,-3.471622,138.53834,45,55,Tidak,Sedang,92.9,345,6,0,0,0,39,1,1840,0,760,3220,1710,1000,2210,62,39,51,High,Sedang,IMG-HJ-00546.jpg
OBS-HJ-00547,2026-05-21,HJ-G-0637,Bekas Tambang,-3.488739,138.532927,88,82,Ya,Rendah,43.5,151,5,1,28,5,76,4,2420,850,1000,2100,0,200,790,93,76,85,Very High,Tinggi,IMG-HJ-00547.jpg
OBS-HJ-00548,2026-06-12,HJ-G-1379,Sawah,-3.475225,138.52571,16,44,Ya,Tinggi,11.0,183,0,0,0,0,12,2,780,0,590,1840,1570,890,1330,67,12,51,High,Sedang,IMG-HJ-00548.jpg
OBS-HJ-00549,2025-10-21,HJ-G-1024,Sawah,-3.481532,138.5212,42,62,Tidak,Sedang,28.4,290,0,0,3,0,13,3,1030,0,260,1030,1390,200,820,73,13,57,High,Sedang,IMG-HJ-00549.jpg
OBS-HJ-00550,2025-12-08,HJ-G-0611,Rawa,-3.488739,138.509472,52,84,Ya,Rendah,54.6,368,2,0,5,0,58,1,810,890,1000,0,2310,510,1840,86,58,70,Very High,Sedang,IMG-HJ-00550.jpg
OBS-HJ-00551,2025-12-13,HJ-G-1686,Sawah,-3.46982,138.532025,52,63,Tidak,Tinggi,17.5,371,0,0,0,0,48,2,1120,0,900,2770,1910,1220,2040,49,48,46,Medium,Rendah,IMG-HJ-00551.jpg
OBS-HJ-00552,2025-12-07,HJ-G-1181,Sawah,-3.478829,138.527515,71,35,Ya,Sedang,33.6,313,0,0,0,0,19,4,1200,0,220,1790,1120,450,950,93,19,74,Very High,Sedang,IMG-HJ-00552.jpg
OBS-HJ-00553,2025-11-30,HJ-G-0091,Belukar/Lahan Terbuka,-3.498649,138.536536,37,31,Tidak,Sedang,2.6,296,2,0,2,0,15,0,3550,2010,2170,2620,300,220,1730,41,15,30,Medium,Rendah,IMG-HJ-00553.jpg
OBS-HJ-00554,2026-02-05,HJ-G-2273,Hutan,-3.459009,138.520298,58,53,Ya,Rendah,15.2,402,1,0,5,0,5,0,0,500,2040,2920,3440,2640,3190,64,5,43,High,Rendah,IMG-HJ-00554.jpg
OBS-HJ-00555,2026-04-26,HJ-G-1266,Sawah,-3.477027,138.513983,55,32,Ya,Tinggi,5.3,214,0,0,2,0,12,1,300,0,20,810,2330,540,1750,77,12,55,High,Sedang,IMG-HJ-00555.jpg
OBS-HJ-00556,2025-11-11,HJ-G-0336,Bekas Tambang,-3.494144,138.532025,70,40,Ya,Sedang,20.8,297,10,0,43,7,57,2,2860,1360,1540,2020,0,140,1020,85,57,71,Very High,Sedang,IMG-HJ-00556.jpg
OBS-HJ-00557,2026-05-29,HJ-G-0975,Sawah,-3.482432,138.522102,62,67,Ya,Tinggi,8.4,188,0,0,1,0,15,1,1170,0,310,1080,1250,100,680,76,15,55,High,Sedang,IMG-HJ-00557.jpg
OBS-HJ-00558,2025-12-16,HJ-G-0805,Rawa,-3.485135,138.50406,90,67,Ya,Rendah,11.1,305,5,0,2,0,48,1,220,920,710,0,2960,580,2440,87,48,69,Very High,Sedang,IMG-HJ-00558.jpg
OBS-HJ-00559,2025-10-06,HJ-G-0476,Permukiman,-3.491441,138.523004,3,26,Tidak,Sedang,1.1,302,3,0,0,0,44,5,1940,1000,1230,1000,800,0,570,33,44,42,Low,Rendah,IMG-HJ-00559.jpg
OBS-HJ-00560,2026-02-16,HJ-G-0308,Rawa,-3.494144,138.506766,63,74,Ya,Sedang,22.0,377,0,0,0,0,0,0,1170,1570,1590,0,2620,610,2260,86,0,56,Very High,Sedang,IMG-HJ-00560.jpg
OBS-HJ-00561,2026-02-17,HJ-G-0704,Rawa,-3.486937,138.503157,70,100,Ya,Sedang,14.9,281,2,0,1,0,0,0,280,1130,930,0,3030,780,2530,94,0,61,Very High,Sedang,IMG-HJ-00561.jpg
OBS-HJ-00562,2025-12-20,HJ-G-0514,Rawa,-3.490541,138.512179,88,45,Tidak,Sedang,124.1,376,1,1,1,0,17,3,1080,1000,1290,0,2000,280,1570,65,17,53,High,Sedang,IMG-HJ-00562.jpg
OBS-HJ-00563,2026-02-16,HJ-G-0211,Rawa,-3.495946,138.509472,65,74,Tidak,Sedang,80.8,342,2,1,1,0,22,0,1500,1650,1800,0,2350,300,2070,67,22,48,High,Rendah,IMG-HJ-00563.jpg
OBS-HJ-00564,2025-10-01,HJ-G-0354,Rawa,-3.493243,138.503157,64,42,Ya,Sedang,38.7,288,4,1,0,1,60,1,920,1660,1570,0,3010,1020,2620,82,60,68,Very High,Sedang,IMG-HJ-00564.jpg
OBS-HJ-00565,2026-01-15,HJ-G-1655,Hutan,-3.46982,138.50406,12,65,Ya,Rendah,13.1,419,0,0,6,0,0,0,0,920,1150,1410,3690,1340,3100,56,0,36,Medium,Rendah,IMG-HJ-00565.jpg
OBS-HJ-00566,2026-03-12,HJ-G-0491,Bekas Tambang,-3.491441,138.536536,78,62,Ya,Tinggi,11.5,246,3,0,11,1,44,1,2910,1260,1430,2500,0,500,1260,76,44,61,High,Sedang,IMG-HJ-00566.jpg
OBS-HJ-00567,2025-11-28,HJ-G-0248,Belukar/Lahan Terbuka,-3.495946,138.542851,40,13,Tidak,Tinggi,3.5,303,4,0,5,1,48,0,3750,2010,2210,3240,420,360,2110,34,48,32,Low,Rendah,IMG-HJ-00567.jpg
OBS-HJ-00568,2025-11-16,HJ-G-0787,Permukiman,-3.486036,138.532927,24,26,Tidak,Sedang,11.0,339,2,0,7,1,37,4,2190,580,720,2120,140,0,780,50,37,50,Medium,Rendah,IMG-HJ-00568.jpg
OBS-HJ-00569,2025-10-17,HJ-G-0802,Hutan,-3.485135,138.501353,89,41,Ya,Rendah,6.9,258,0,0,8,1,30,1,0,1170,910,100,3260,850,2740,85,30,64,Very High,Sedang,IMG-HJ-00569.jpg
OBS-HJ-00570,2026-03-14,HJ-G-1590,Sawah,-3.471622,138.535634,37,47,Ya,Tinggi,29.9,337,0,0,0,0,17,4,1550,0,660,2970,1700,1000,2030,68,17,57,High,Sedang,IMG-HJ-00570.jpg
OBS-HJ-00571,2025-12-22,HJ-G-0387,Bekas Tambang,-3.493243,138.532927,100,51,Ya,Sedang,55.5,284,2,0,23,2,48,4,2830,1300,1470,2110,0,280,1020,91,48,78,Very High,Tinggi,IMG-HJ-00571.jpg
OBS-HJ-00572,2026-01-02,HJ-G-1675,Sawah,-3.46982,138.522102,30,14,Ya,Sedang,74.4,397,0,0,1,0,12,0,140,0,950,1980,2280,1500,1980,60,12,41,Medium,Rendah,IMG-HJ-00572.jpg
OBS-HJ-00573,2026-01-06,HJ-G-1098,Belukar/Lahan Terbuka,-3.480631,138.542851,17,0,Ya,Rendah,7.3,400,1,0,4,0,40,2,2690,640,970,3320,940,140,2010,49,40,45,Medium,Rendah,IMG-HJ-00573.jpg
OBS-HJ-00574,2026-04-20,HJ-G-2243,Perkebunan,-3.45991,138.53834,20,39,Tidak,Sedang,15.6,218,7,2,9,3,75,0,1800,710,1990,4030,3010,2300,3330,37,75,39,Low,Rendah,IMG-HJ-00574.jpg
OBS-HJ-00575,2026-03-28,HJ-G-0568,Permukiman,-3.48964,138.515787,40,43,Tidak,Sedang,7.6,265,0,0,2,0,17,2,1200,810,1330,200,1600,0,1160,53,17,43,Medium,Rendah,IMG-HJ-00575.jpg
OBS-HJ-00576,2026-02-12,HJ-G-0119,Permukiman,-3.497748,138.516689,4,0,Tidak,Sedang,1.8,364,5,0,2,0,38,0,2010,1700,2110,640,1650,0,1560,31,38,28,Low,Rendah,IMG-HJ-00576.jpg
OBS-HJ-00577,2025-12-01,HJ-G-0825,Permukiman,-3.485135,138.522102,0,60,Ya,Sedang,3.9,346,10,0,0,1,56,5,1430,300,590,980,1080,0,490,65,56,65,High,Sedang,IMG-HJ-00577.jpg
OBS-HJ-00578,2026-02-27,HJ-G-1651,Hutan,-3.46982,138.500451,26,65,Ya,Sedang,9.6,385,3,0,3,0,39,0,0,1250,1370,1520,4020,1560,3430,62,39,48,High,Rendah,IMG-HJ-00578.jpg
OBS-HJ-00579,2025-10-04,HJ-G-1163,Sawah,-3.478829,138.511276,62,58,Tidak,Tinggi,6.3,285,6,0,2,0,31,0,200,0,110,510,2470,220,1880,63,31,47,High,Rendah,IMG-HJ-00579.jpg
OBS-HJ-00580,2025-11-16,HJ-G-0316,Permukiman,-3.494144,138.513983,15,59,Tidak,Sedang,1.3,270,2,1,2,0,32,4,1520,1330,1730,140,1820,0,1540,53,32,50,Medium,Rendah,IMG-HJ-00580.jpg
OBS-HJ-00581,2026-03-10,HJ-G-1633,Sawah,-3.470721,138.529319,47,57,Ya,Tinggi,24.0,272,3,0,0,0,21,2,850,0,960,2480,1870,1210,1870,64,21,51,High,Sedang,IMG-HJ-00581.jpg
OBS-HJ-00582,2026-01-17,HJ-G-1971,Hutan,-3.464414,138.518493,61,49,Tidak,Sedang,2.7,363,0,0,4,1,11,0,0,500,1410,2280,3000,2010,2660,48,11,33,Medium,Rendah,IMG-HJ-00582.jpg
OBS-HJ-00583,2025-12-30,HJ-G-1309,Hutan,-3.476126,138.507668,41,58,Ya,Rendah,14.5,346,3,1,5,1,20,1,0,300,350,700,2970,540,2370,78,20,57,High,Sedang,IMG-HJ-00583.jpg
OBS-HJ-00584,2025-10-21,HJ-G-1639,Sawah,-3.470721,138.534732,47,69,Ya,Tinggi,8.1,206,3,1,0,0,23,1,1430,0,750,2940,1800,1100,2070,69,23,52,High,Sedang,IMG-HJ-00584.jpg
OBS-HJ-00585,2026-05-08,HJ-G-0093,Belukar/Lahan Terbuka,-3.498649,138.53834,45,8,Ya,Sedang,2.0,181,0,0,4,1,32,2,3660,2090,2240,2820,360,320,1870,53,32,46,Medium,Rendah,IMG-HJ-00585.jpg
OBS-HJ-00586,2025-11-07,HJ-G-0438,Bekas Tambang,-3.492342,138.533829,73,79,Ya,Sedang,128.1,250,7,1,19,4,55,3,2800,1250,1410,2200,0,400,1040,85,55,73,Very High,Sedang,IMG-HJ-00586.jpg
OBS-HJ-00587,2026-03-11,HJ-G-0510,Rawa,-3.490541,138.50857,80,83,Ya,Sedang,19.3,282,1,0,0,0,31,2,980,1120,1190,0,2400,630,1970,93,31,71,Very High,Sedang,IMG-HJ-00587.jpg
OBS-HJ-00588,2025-12-15,HJ-G-1512,Hutan,-3.472523,138.510374,42,80,Ya,Rendah,4.1,338,1,1,3,1,42,1,0,300,570,1140,2940,900,2380,77,42,61,High,Sedang,IMG-HJ-00588.jpg
OBS-HJ-00589,2026-02-22,HJ-G-0782,Permukiman,-3.486036,138.528417,6,17,Tidak,Sedang,30.0,307,3,0,2,0,34,2,1890,400,590,1630,450,0,300,48,34,43,Medium,Rendah,IMG-HJ-00589.jpg
OBS-HJ-00590,2025-12-28,HJ-G-0866,Permukiman,-3.484234,138.513983,31,36,Tidak,Sedang,6.2,343,6,1,0,4,81,3,670,300,780,220,1930,0,1370,56,81,60,Medium,Sedang,IMG-HJ-00590.jpg
OBS-HJ-00591,2025-12-09,HJ-G-0436,Bekas Tambang,-3.492342,138.532025,73,80,Ya,Sedang,62.0,332,12,7,35,20,93,4,2690,1170,1350,2000,0,200,880,83,93,82,Very High,Tinggi,IMG-HJ-00591.jpg
OBS-HJ-00592,2026-02-12,HJ-G-0295,Belukar/Lahan Terbuka,-3.495045,138.540144,52,37,Ya,Tinggi,13.5,372,3,3,8,3,77,2,3470,1790,1970,2930,140,100,1790,65,77,62,High,Sedang,IMG-HJ-00592.jpg
OBS-HJ-00593,2026-01-29,HJ-G-0393,Bekas Tambang,-3.493243,138.53834,65,45,Ya,Tinggi,244.4,409,19,5,29,20,80,2,3190,1520,1700,2710,0,220,1530,72,80,68,High,Sedang,IMG-HJ-00593.jpg
OBS-HJ-00594,2025-11-30,HJ-G-1955,Hutan,-3.464414,138.50406,53,27,Tidak,Sedang,6.5,353,0,0,3,1,50,0,0,1390,1680,2010,4050,1900,3510,40,50,36,Low,Rendah,IMG-HJ-00594.jpg
OBS-HJ-00595,2025-12-18,HJ-G-2337,Perkebunan,-3.458108,138.532927,22,25,Tidak,Sedang,6.8,347,1,0,8,0,30,0,1240,630,2160,3750,3200,2500,3320,36,30,29,Low,Rendah,IMG-HJ-00595.jpg
OBS-HJ-00596,2026-04-30,HJ-G-0338,Bekas Tambang,-3.494144,138.533829,74,67,Ya,Rendah,16.9,225,16,9,16,12,88,1,2970,1430,1600,2220,0,220,1160,79,88,71,High,Sedang,IMG-HJ-00596.jpg
OBS-HJ-00597,2025-12-22,HJ-G-1217,Sawah,-3.477928,138.514885,54,72,Ya,Sedang,5.5,309,2,0,7,0,42,1,410,0,130,780,2200,500,1600,88,42,68,Very High,Sedang,IMG-HJ-00597.jpg
OBS-HJ-00598,2026-01-23,HJ-G-1499,Perkebunan,-3.473423,138.543753,5,46,Tidak,Tinggi,10.7,414,0,0,10,0,32,3,2470,410,1100,3680,1700,850,2490,34,32,36,Low,Rendah,IMG-HJ-00598.jpg
OBS-HJ-00599,2026-03-29,HJ-G-0544,Bekas Tambang,-3.490541,138.539242,68,63,Ya,Sedang,45.6,308,8,0,24,3,72,1,3040,1300,1490,2800,0,200,1520,85,72,72,Very High,Sedang,IMG-HJ-00599.jpg
OBS-HJ-00600,2025-11-19,HJ-G-0323,Permukiman,-3.494144,138.520298,0,0,Ya,Rendah,1.2,326,1,0,2,0,13,6,1910,1300,1600,760,1140,0,990,34,13,39,Low,Rendah,IMG-HJ-00600.jpg
OBS-HJ-00601,2026-03-27,HJ-G-0817,Permukiman,-3.485135,138.514885,26,17,Ya,Sedang,3.1,272,3,0,1,3,46,2,810,360,920,220,1800,0,1250,73,46,61,High,Sedang,IMG-HJ-00601.jpg
OBS-HJ-00602,2025-11-22,HJ-G-1075,Sawah,-3.480631,138.522102,61,59,Ya,Tinggi,48.5,285,1,0,0,0,8,4,1000,0,130,1170,1360,300,850,81,8,64,Very High,Sedang,IMG-HJ-00602.jpg
OBS-HJ-00603,2025-12-10,HJ-G-1119,Sawah,-3.47973,138.516689,59,26,Ya,Sedang,55.0,303,6,1,1,0,47,3,670,0,290,780,1920,320,1320,85,47,72,Very High,Sedang,IMG-HJ-00603.jpg
OBS-HJ-00604,2026-02-02,HJ-G-1585,Sawah,-3.471622,138.531123,40,66,Ya,Tinggi,20.8,389,0,0,0,0,45,1,1080,0,760,2560,1730,1040,1820,66,45,54,High,Sedang,IMG-HJ-00604.jpg
OBS-HJ-00605,2026-01-27,HJ-G-1121,Sawah,-3.47973,138.518493,51,68,Tidak,Tinggi,26.1,386,0,0,3,0,11,1,730,0,220,920,1750,400,1170,66,11,48,High,Rendah,IMG-HJ-00605.jpg
OBS-HJ-00606,2025-10-04,HJ-G-1347,Perkebunan,-3.476126,138.541949,37,25,Tidak,Rendah,3.5,286,4,0,14,0,40,0,2380,320,810,3380,1340,510,2160,44,40,37,Medium,Rendah,IMG-HJ-00606.jpg
OBS-HJ-00607,2026-02-14,HJ-G-0746,Permukiman,-3.486937,138.541046,38,8,Ya,Sedang,7.6,395,7,0,6,0,41,3,2920,1030,1260,3010,280,0,1670,60,41,54,Medium,Sedang,IMG-HJ-00607.jpg
OBS-HJ-00608,2026-03-10,HJ-G-0930,Permukiman,-3.483333,138.526613,22,50,Ya,Tinggi,10.5,322,5,0,0,0,21,2,1530,100,280,1520,780,0,440,72,21,56,High,Sedang,IMG-HJ-00608.jpg
OBS-HJ-00609,2026-03-16,HJ-G-1097,Belukar/Lahan Terbuka,-3.480631,138.541949,24,40,Ya,Sedang,3.2,224,1,1,1,0,4,4,2610,570,870,3230,890,100,1910,58,4,48,Medium,Rendah,IMG-HJ-00609.jpg
OBS-HJ-00610,2025-12-13,HJ-G-1364,Sawah,-3.475225,138.512179,63,87,Tidak,Sedang,25.8,323,1,1,2,0,45,1,100,0,220,920,2610,630,2030,79,45,63,High,Sedang,IMG-HJ-00610.jpg
OBS-HJ-00611,2026-05-19,HJ-G-0239,Bekas Tambang,-3.495946,138.534732,82,97,Ya,Tinggi,64.2,174,12,6,40,10,96,2,3190,1660,1820,2350,0,100,1370,79,96,75,High,Sedang,IMG-HJ-00611.jpg
OBS-HJ-00612,2025-10-07,HJ-G-1577,Sawah,-3.471622,138.523906,34,59,Tidak,Sedang,7.9,214,0,0,1,0,12,1,410,0,860,1980,2010,1300,1750,51,12,38,Medium,Rendah,IMG-HJ-00612.jpg
OBS-HJ-00613,2025-11-24,HJ-G-0786,Permukiman,-3.486036,138.532025,0,13,Ya,Sedang,3.3,278,1,0,11,1,26,5,2130,540,680,2020,200,0,680,65,26,59,High,Sedang,IMG-HJ-00613.jpg
OBS-HJ-00614,2025-12-06,HJ-G-1048,Belukar/Lahan Terbuka,-3.481532,138.542851,11,34,Tidak,Sedang,9.7,364,0,0,1,0,24,1,2750,710,1010,3300,860,100,1970,37,24,31,Low,Rendah,IMG-HJ-00614.jpg
OBS-HJ-00615,2025-11-09,HJ-G-1714,Hutan,-3.468919,138.512179,44,19,Ya,Sedang,5.3,351,0,0,5,1,20,1,0,670,900,1580,3040,1320,2540,66,20,49,High,Rendah,IMG-HJ-00615.jpg
OBS-HJ-00616,2026-04-17,HJ-G-1057,Hutan,-3.480631,138.505864,73,65,Ya,Rendah,10.7,223,2,0,2,0,38,0,0,510,220,200,2920,360,2350,90,38,66,Very High,Sedang,IMG-HJ-00616.jpg
OBS-HJ-00617,2026-04-23,HJ-G-2493,Belukar/Lahan Terbuka,-3.455405,138.53834,21,16,Tidak,Rendah,1.9,212,0,0,0,0,3,0,1900,1120,2480,4380,3510,2800,3790,20,3,14,Very Low,Sangat Rendah,IMG-HJ-00617.jpg
OBS-HJ-00618,2025-11-27,HJ-G-2361,Hutan,-3.457207,138.509472,50,58,Ya,Sedang,9.1,321,0,0,4,0,45,0,0,1620,2230,2810,4220,2600,3800,67,45,53,High,Sedang,IMG-HJ-00618.jpg
OBS-HJ-00619,2025-11-16,HJ-G-0564,Rawa,-3.48964,138.512179,67,45,Ya,Sedang,10.0,373,3,0,1,0,36,5,980,910,1190,0,2000,280,1550,79,36,71,High,Sedang,IMG-HJ-00619.jpg
OBS-HJ-00620,2026-02-25,HJ-G-2310,Hutan,-3.458108,138.50857,68,36,Tidak,Rendah,45.9,365,1,1,3,4,86,0,0,1680,2160,2700,4200,2500,3760,49,86,49,Medium,Rendah,IMG-HJ-00620.jpg
OBS-HJ-00621,2026-04-14,HJ-G-0282,Permukiman,-3.495045,138.528417,44,36,Ya,Sedang,4.1,173,3,0,4,0,29,2,2660,1400,1580,1650,320,0,910,56,29,47,Medium,Rendah,IMG-HJ-00621.jpg
OBS-HJ-00622,2025-10-14,HJ-G-0909,Rawa,-3.483333,138.507668,68,65,Ya,Sedang,87.1,199,5,0,2,0,62,1,200,500,380,0,2620,140,2080,89,62,73,Very High,Sedang,IMG-HJ-00622.jpg
OBS-HJ-00623,2026-01-05,HJ-G-0420,Permukiman,-3.492342,138.517591,0,29,Ya,Tinggi,4.0,349,0,0,1,0,9,2,1560,1100,1520,410,1400,0,1090,58,9,44,Medium,Rendah,IMG-HJ-00623.jpg
OBS-HJ-00624,2025-11-08,HJ-G-1633,Sawah,-3.470721,138.529319,55,33,Tidak,Tinggi,11.0,257,3,0,0,0,21,1,850,0,960,2480,1870,1210,1870,47,21,37,Medium,Rendah,IMG-HJ-00624.jpg
